taxon	afrotropical	palearctic	oriental	australian	oceanian	nearctic	panamanian	neotropical
Alopochelidon_fucata	0	0	0	0	0	0	0	1
Atticora_fasciata	0	0	0	0	0	0	0	1
Atticora_pileata	0	0	0	0	0	0	1	0
Atticora_tibialis	0	0	0	0	0	0	1	1
Cecropis_abyssinica	1	0	0	0	0	0	0	0
Cecropis_cucullata	1	0	0	0	0	0	0	0
Cecropis_daurica_Africa	1	0	0	0	0	0	0	0
Cecropis_daurica_Eurasia_Southeast_Asia	0	1	1	0	0	0	0	0
Cecropis_semirufa_gordoni	1	0	0	0	0	0	0	0
Cecropis_semirufa_semirufa	1	0	0	0	0	0	0	0
Cecropis_senegalensis	1	0	0	0	0	0	0	0
Cheramoeca_leucosterna	0	0	0	1	0	0	0	0
Delichon_dasypus	0	1	1	0	0	0	0	0
Delichon_nipalense	0	1	1	0	0	0	0	0
Delichon_urbicum_lagopodum	0	1	0	0	0	0	0	0
Delichon_urbicum_urbicum	0	1	0	0	0	0	0	0
Hirundo_aethiopica	1	0	0	0	0	0	0	0
Hirundo_albigularis	1	0	0	0	0	0	0	0
Hirundo_angolensis	1	0	0	0	0	0	0	0
Hirundo_atrocaerulea	1	0	0	0	0	0	0	0
Hirundo_dimidiata	1	0	0	0	0	0	0	0
Hirundo_lucida	1	0	0	0	0	0	0	0
Hirundo_megaensis	1	0	0	0	0	0	0	0
Hirundo_neoxena	0	0	0	1	0	0	0	0
Hirundo_nigrita	1	0	0	0	0	0	0	0
Hirundo_nigrorufa	1	0	0	0	0	0	0	0
Hirundo_rustica	0	1	1	0	0	1	0	1
Hirundo_smithii	1	1	1	0	0	0	0	0
Hirundo_tahitica	0	0	1	0	1	0	0	0
Neophedina_cincta	1	0	0	0	0	0	0	0
Orochelidon_andecola	0	0	0	0	0	0	0	1
Orochelidon_flavipes	0	0	0	0	0	0	0	1
Orochelidon_murina	0	0	0	0	0	0	0	1
Petrochelidon_ariel	0	0	0	1	0	0	0	0
Petrochelidon_fluvicola	0	0	1	0	0	0	0	0
Petrochelidon_fuliginosa	1	0	0	0	0	0	0	0
Petrochelidon_fulva	0	0	0	0	0	1	1	0
Petrochelidon_nigricans	0	0	0	1	1	0	0	0
Petrochelidon_preussi	1	0	0	0	0	0	0	0
Petrochelidon_pyrrhonota	0	0	0	0	0	1	1	0
Petrochelidon_rufigula	1	0	0	0	0	0	0	0
Petrochelidon_rufocollaris	0	0	0	0	0	0	0	1
Petrochelidon_spilodera	1	0	0	0	0	0	0	0
Phedina_borbonica	1	0	0	0	0	0	0	0
Phedinopsis_brazzae	1	0	0	0	0	0	0	0
Progne_chalybea	0	0	0	0	0	1	1	1
Progne_dominicensis	0	0	0	0	0	0	1	0
Progne_elegans	0	0	0	0	0	0	0	1
Progne_murphyi	0	0	0	0	0	0	0	1
Progne_sinaloae	0	0	0	0	0	1	0	0
Progne_subis	0	0	0	0	0	1	0	0
Progne_tapera	0	0	0	0	0	0	0	1
Psalidoprocne_albiceps	1	0	0	0	0	0	0	0
Psalidoprocne_fuliginosa	1	0	0	0	0	0	0	0
Psalidoprocne_nitens	1	0	0	0	0	0	0	0
Psalidoprocne_obscura	1	0	0	0	0	0	0	0
Psalidoprocne_pristoptera_holomelas	1	0	0	0	0	0	0	0
Psalidoprocne_pristoptera_massaica	1	0	0	0	0	0	0	0
Psalidoprocne_pristoptera_orientalis	1	0	0	0	0	0	0	0
Psalidoprocne_pristoptera_petiti	1	0	0	0	0	0	0	0
Psalidoprocne_pristoptera_ruwenzori	1	0	0	0	0	0	0	0
Pseudhirundo_griseopyga	1	0	0	0	0	0	0	0
Pseudochelidon_eurystomina	1	0	0	0	0	0	0	0
Pseudochelidon_sirintarae	0	0	1	0	0	0	0	0
Ptyonoprogne_concolor	0	0	1	0	0	0	0	0
Ptyonoprogne_fuligula_northern_populations	1	0	0	0	0	0	0	0
Ptyonoprogne_fuligula_southern_populations	1	0	0	0	0	0	0	0
Ptyonoprogne_obsoleta	1	1	0	0	0	0	0	0
Ptyonoprogne_rupestris	0	1	1	0	0	0	0	0
Pygochelidon_cyanoleuca	0	0	0	0	0	0	1	1
Pygochelidon_melanoleuca	0	0	0	0	0	0	0	1
Riparia_diluta	0	1	0	0	0	0	0	0
Riparia_paludicola_cowani	1	0	0	0	0	0	0	0
Riparia_paludicola_paludicola	1	1	0	0	0	0	0	0
Riparia_riparia	0	1	0	0	0	1	0	0
Stelgidopteryx_ruficollis	0	0	0	0	0	0	1	1
Stelgidopteryx_serripennis_ridgwayi	0	0	0	0	0	0	1	0
Stelgidopteryx_serripennis_southern	0	0	0	0	0	1	1	0
Tachycineta_albilinea	0	0	0	0	0	1	1	0
Tachycineta_albiventer	0	0	0	0	0	0	0	1
Tachycineta_bicolor	0	0	0	0	0	1	0	0
Tachycineta_cyaneoviridis	0	0	0	0	0	0	1	0
Tachycineta_euchrysea	0	0	0	0	0	0	1	0
Tachycineta_leucopyga	0	0	0	0	0	0	0	1
Tachycineta_leucorrhoa	0	0	0	0	0	0	0	1
Tachycineta_stolzmanni	0	0	0	0	0	0	0	1
Tachycineta_thalassina_brachyptera	0	0	0	0	0	1	0	0
Tachycineta_thalassina_thalassina	0	0	0	0	0	1	0	0
