taxon	breeding_sociality
Alopochelidon_fucata	small_group
Atticora_fasciata	small_group
Atticora_pileata	small_group
Atticora_tibialis	solitary/small_group
Cecropis_abyssinica	small_group
Cecropis_cucullata	solitary
Cecropis_daurica_Africa	solitary
Cecropis_daurica_Eurasia_Southeast_Asia	solitary
Cecropis_semirufa_gordoni	solitary
Cecropis_semirufa_semirufa	solitary
Cecropis_senegalensis	solitary
Cheramoeca_leucosterna	small_group
Delichon_dasypus	colony
Delichon_nipalense	colony
Delichon_urbicum_lagopodum	colony
Delichon_urbicum_urbicum	colony
Hirundo_aethiopica	small_group
Hirundo_albigularis	solitary
Hirundo_angolensis	small_group
Hirundo_atrocaerulea	solitary
Hirundo_dimidiata	solitary
Hirundo_lucida	small_group
Hirundo_megaensis	solitary/small_group
Hirundo_neoxena	small_group
Hirundo_nigrita	solitary
Hirundo_nigrorufa	solitary
Hirundo_rustica	small_group
Hirundo_smithii	solitary
Hirundo_tahitica	small_group
Neophedina_cincta	solitary
Orochelidon_andecola	small_group
Orochelidon_flavipes	solitary/small_group
Orochelidon_murina	small_group
Petrochelidon_ariel	colony
Petrochelidon_fluvicola	colony
Petrochelidon_fuliginosa	small_group
Petrochelidon_fulva	colony
Petrochelidon_nigricans	small_group
Petrochelidon_preussi	colony
Petrochelidon_pyrrhonota	colony
Petrochelidon_rufigula	colony
Petrochelidon_rufocollaris	colony
Petrochelidon_spilodera	colony
Phedina_borbonica	small_group
Phedinopsis_brazzae	small_group
Progne_chalybea	small_group
Progne_dominicensis	small_group
Progne_elegans	solitary/small_group
Progne_murphyi	solitary/small_group
Progne_sinaloae	small_group
Progne_subis	small_group
Progne_tapera	small_group
Psalidoprocne_albiceps	small_group
Psalidoprocne_fuliginosa	solitary
Psalidoprocne_nitens	solitary
Psalidoprocne_obscura	small_group
Psalidoprocne_pristoptera_holomelas	small_group
Psalidoprocne_pristoptera_massaica	small_group
Psalidoprocne_pristoptera_orientalis	small_group
Psalidoprocne_pristoptera_petiti	small_group
Psalidoprocne_pristoptera_ruwenzori	small_group
Pseudhirundo_griseopyga	small_group
Pseudochelidon_eurystomina	colony
Ptyonoprogne_concolor	small_group
Ptyonoprogne_fuligula_northern_populations	small_group
Ptyonoprogne_fuligula_southern_populations	small_group
Ptyonoprogne_obsoleta	small_group
Ptyonoprogne_rupestris	small_group
Pygochelidon_cyanoleuca	small_group
Pygochelidon_melanoleuca	small_group
Riparia_diluta	colony
Riparia_paludicola_cowani	colony
Riparia_paludicola_paludicola	colony
Riparia_riparia	colony
Stelgidopteryx_ruficollis	small_group
Stelgidopteryx_serripennis_ridgwayi	small_group
Stelgidopteryx_serripennis_southern	solitary/small_group
Tachycineta_albilinea	solitary
Tachycineta_albiventer	small_group
Tachycineta_bicolor	small_group
Tachycineta_cyaneoviridis	small_group
Tachycineta_euchrysea	colony
Tachycineta_leucopyga	small_group
Tachycineta_leucorrhoa	solitary
Tachycineta_stolzmanni	solitary/small_group
Tachycineta_thalassina_brachyptera	small_group
Tachycineta_thalassina_thalassina	small_group
