taxon	nest
Alopochelidon_fucata	adopt_burrow
Atticora_fasciata	adopt_burrow
Atticora_pileata	adopt_burrow
Atticora_tibialis	adopt_cavity
Cecropis_abyssinica	mud_retort
Cecropis_cucullata	mud_retort
Cecropis_daurica_Africa	mud_retort
Cecropis_daurica_Eurasia_Southeast_Asia	mud_retort
Cecropis_semirufa_gordoni	mud_retort
Cecropis_semirufa_semirufa	mud_retort
Cecropis_senegalensis	mud_retort
Cheramoeca_leucosterna	excavate_burrow
Delichon_dasypus	mud_enclosed_cup
Delichon_nipalense	mud_enclosed_cup
Delichon_urbicum_lagopodum	mud_enclosed_cup
Delichon_urbicum_urbicum	mud_enclosed_cup
Hirundo_aethiopica	mud_open_cup
Hirundo_albigularis	mud_open_cup
Hirundo_angolensis	mud_open_cup
Hirundo_atrocaerulea	mud_open_cup
Hirundo_dimidiata	mud_open_cup
Hirundo_lucida	mud_open_cup
Hirundo_megaensis	mud_open_cup
Hirundo_neoxena	mud_open_cup
Hirundo_nigrita	mud_open_cup
Hirundo_nigrorufa	mud_open_cup
Hirundo_rustica	mud_open_cup
Hirundo_smithii	mud_open_cup
Hirundo_tahitica	mud_open_cup
Neophedina_cincta	excavate_burrow
Orochelidon_andecola	adopt_cavity
Orochelidon_flavipes	adopt_cavity
Orochelidon_murina	adopt_cavity
Petrochelidon_ariel	mud_retort
Petrochelidon_fluvicola	mud_retort
Petrochelidon_fuliginosa	mud_enclosed_cup
Petrochelidon_fulva	mud_open_cup
Petrochelidon_nigricans	adopt_cavity
Petrochelidon_preussi	mud_retort
Petrochelidon_pyrrhonota	mud_retort
Petrochelidon_rufigula	mud_retort
Petrochelidon_rufocollaris	mud_retort
Petrochelidon_spilodera	mud_retort
Phedina_borbonica	adopt_cavity
Phedinopsis_brazzae	excavate_burrow
Progne_chalybea	adopt_cavity
Progne_dominicensis	adopt_cavity
Progne_elegans	adopt_cavity
Progne_murphyi	adopt_cavity
Progne_sinaloae	adopt_cavity
Progne_subis	adopt_cavity
Progne_tapera	adopt_cavity
Psalidoprocne_albiceps	excavate_burrow
Psalidoprocne_fuliginosa	adopt_cavity
Psalidoprocne_nitens	excavate_burrow
Psalidoprocne_obscura	excavate_burrow
Psalidoprocne_pristoptera_holomelas	excavate_burrow
Psalidoprocne_pristoptera_massaica	excavate_burrow
Psalidoprocne_pristoptera_orientalis	excavate_burrow
Psalidoprocne_pristoptera_petiti	excavate_burrow
Psalidoprocne_pristoptera_ruwenzori	excavate_burrow
Pseudhirundo_griseopyga	excavate_burrow
Pseudochelidon_eurystomina	excavate_burrow
Ptyonoprogne_concolor	mud_open_cup
Ptyonoprogne_fuligula_northern_populations	mud_open_cup
Ptyonoprogne_fuligula_southern_populations	mud_open_cup
Ptyonoprogne_obsoleta	mud_open_cup
Ptyonoprogne_rupestris	mud_open_cup
Pygochelidon_cyanoleuca	adopt_burrow
Pygochelidon_melanoleuca	adopt_cavity
Riparia_diluta	excavate_burrow
Riparia_paludicola_cowani	excavate_burrow
Riparia_paludicola_paludicola	excavate_burrow
Riparia_riparia	excavate_burrow
Stelgidopteryx_ruficollis	adopt_burrow
Stelgidopteryx_serripennis_ridgwayi	adopt_burrow
Stelgidopteryx_serripennis_southern	adopt_cavity
Tachycineta_albilinea	adopt_cavity
Tachycineta_albiventer	adopt_cavity
Tachycineta_bicolor	adopt_cavity
Tachycineta_cyaneoviridis	adopt_cavity
Tachycineta_euchrysea	adopt_cavity
Tachycineta_leucopyga	adopt_cavity
Tachycineta_leucorrhoa	adopt_cavity
Tachycineta_stolzmanni	adopt_cavity
Tachycineta_thalassina_brachyptera	adopt_cavity
Tachycineta_thalassina_thalassina	adopt_cavity
